Question	Answer1	Answer2	SU Type	SU Sub Type	Question Type
how is james related to sibyl ?	he is her brother	brother	Concept	Common Noun Phrases	Relation between Concepts
what shore does michael s corpse wash up on ?	the shore of donegal	donegal	Concept	Entity	Event Argument - Concept
what was almayer doing when mrs. almayer snuck nina away ?	he was drinking with the dutch .	drinking	Event	Event Expression	Temporal Relation
what was the story lizzie reminds laura about ?	"a story about jeanie , another girl ate the goblin s fruit and died after being really sick"	the tale of a girl named jeanie who ate goblin fruit and died .	Event	Event Expression	Nested Relation
who kills barabas ?	the maltese .	the maltese	Concept	Entity	Event Argument - Concept
what is virginia famous for ?	being famous	being famous	Attribute	Descriptions	Attribute of Concept
"in the story , where does the dialogue take place ?"	the dialogue takes place in socrates ' cell .	the dialogue takes place in socrates cell .	Concept	Entity	Book Attribute
how does paula kill herself ?	shooting herself with a rifle	with a rifle	Event	Event Expression	Nested Relation
what gave romola a new meaning in life ?	helping people in a village affected by the plague .	helping the sick survivors	Event	Event Expression	Nested Relation
what sentence did cynthia give to the symbolic vices ?	to bathe in the spring of helicon	make reperations and purify themselves .	Event	Event Expression	Nested Relation
what religion does ruggiero convert to ?	christianity .	he converts to christianity .	Concept	Common Noun Phrases	Event Argument - Concept
what are the sister s names ?	laura and lizzie	lizzie and laura	Concept	Entity	Book Attribute
why did mrs. almayer push nina and dain together ?	she did n't trust white men and wanted nina to stay native .	she wanted them to marry	Event	Event Expression	Causal Relation
what commission did inspector bucket accept ?	to find lady dedlock .	to find lady dedlock	Event	Event Expression	Nested Relation
what event sparks otto being raised in a monastery ?	the death of his mother	his mom died while giving birth to him .	Event	Event Expression	Causal Relation
who seizes on hutter s home ?	the hurons	the hurons	Concept	Entity	Event Argument - Concept
why did almayer build his folly ?	he built the lavish house because he heard the british were invading .	to welcome incoming conquerors	Event	Event Expression	Causal Relation
how does paul react to virginia s attraction to him ?	it makes him uncomfortable .	he was uncomfortable	Event	Event Expression	Causal Relation
why does conan head off to bossonian marches ?	all of his friends are fathers now and he is bored visiting his homelands .	because he is bored	Event	Event Expression	Causal Relation
what is the name of mortimer treginnis ' sister ?	brenda .	her name is brenda .	Concept	Entity	Relation between Concepts
why is rebecca moving in with her aunts ?	to help ease financial strain on her family	less strain on family budget	Event	Event Expression	Causal Relation
why does the princess agree to let ermyntrude pretend to be her ?	because she is timid .	the princess is very shy	Attribute	States	Causal Relation
who attacks castle drachenhausen ?	baron henry	baron henry .	Concept	Entity	Event Argument - Concept
why does the professor dislike the other boarders ?	because they are not from germany	because of their national traits and sub-human status/because they are not german	Attribute	States	Causal Relation
where did the majority of the story occur ?	london .	the strand magazine	Concept	Entity	Book Attribute
whose diary is read ?	charmian s	charmians	Concept	Entity	Event Argument - Concept
which character does herr professor refer to as simian ?	the frenchman leon verdier .	leon	Concept	Entity	Event Argument - Concept
who is george monck ?	governor of scottland	governor of scotland	Concept	Common Noun Phrases	Relation between Concepts
what secret does ally accidentally share with charity about harney ?	that he is engaged to annabel	"she tells charity harney left with annabel , whom he is engaged to be married ."	Event	Event Expression	Nested Relation
who killed dorian gray ?	himself	himself	Concept	Entity	Event Argument - Concept
what was watson s professional title ?	dr .	doctor	Concept	Common Noun Phrases	Relation between Concepts
what is the purpose of thomas jerome newton constructing a spaceship on earth ?	to bring others from his home planet of anthea back to earth	so that he can ferry the remaining antheans to earth	Event	Event Expression	Causal Relation
who does brewster inherit the money from ?	his grandfather	his grandfather	Concept	Entity	Event Argument - Concept
how old is conan ?	he is around forty .	forty .	Attribute	Numerics	Attribute of Concept
who does dorian meet through basil ?	henry wotton	lord henry wotton .	Concept	Entity	Event Argument - Concept
how many deaths was dorian directly responsible for in the story ?	two	four .	Attribute	Numerics	Event Argument - Attribute
what did the witch give to people who were not beautiful ?	strange dreams	strange dreams	Concept	Book-Specific	Nested Relation
who is the prisoner of war calchus persuades the greeks to exchange for his daughter ?	antenor	antenor	Concept	Entity	Nested Relation
"why is grassou still resentful , despite his potentially advantageous marriage ?"	he feels as the he is still not a real artist .	because he is not a true artist .	Event	Event Expression	Causal Relation
what two leaders are at war in the poem ?	charlemange and agramante	charlemagne and agramante	Concept	Entity	Event Argument - Concept
who opposed the zionist groups ?	herzl opposed the zionist groups .	herzl	Concept	Entity	Event Argument - Concept
where does lady dedlock believe esther to be when the story starts ?	she believes her to be dead .	she s dead	Attribute	States	Event Argument - Attribute
who is traveling with kamala to see the budda ?	siddhartha s son .	her son	Concept	Entity	Event Argument - Concept
"when rogers proved himself to the americans , what did they do ?"	made him the boss .	the americans devised new tactics and started hunting for traitors in their group .	Event	Event Expression	Temporal Relation
whom did ermyntrude pretend to be ?	the princess	a princess .	Concept	Common Noun Phrases	Event Argument - Concept
what nickname does sibyl have for dorian gray ?	prince charming	prince charming .	Concept	Book-Specific	Event Argument - Concept
name the major theme used in the adventures of sherlock holmes ?	social injustice	the pointing out of social injustices .	Attribute	Book Attributes	Book Attribute
what did charity do for her job ?	librarian .	charity was a librarian and ward of mr. royall .	Concept	Common Noun Phrases	Attribute of Concept
ithamore hates what religious group ?	christians	christians	Concept	Common Noun Phrases	Attribute of Concept
how does mr. peters attempt to scare tom ?	he almost runs tom and ned over with a speedboat .	by nearly running him over with a boat .	Event	Event Expression	Nested Relation
what triggers the transfer ?	an earthquake	volcano eruption	Concept	Common Noun Phrases	Event Argument - Concept
how come vervelle is so impressed with grassou ?	he thinks grassou has the talents of famous artists	the forgeries he s able to do and make a lot of money from .	Event	Event Expression	Causal Relation
to whom does miranda write her letters ?	her mother .	her mother	Concept	Entity	Event Argument - Concept
who was in reponsible for choosing the war dukes ?	the men of the mark .	the men of mark	Concept	Entity	Attribute of Concept
what permanently disfigured esther ?	smallpox	an illness	Concept	Common Noun Phrases	Event Argument - Concept
in what way did christopher atone for his sin ?	he helped will escape and accepted the punishment .	christopher aids will s escape and takes the punishment .	Event	Event Expression	Nested Relation
who does cynthia represent in the masque ?	queen elizabeth	queen elizabeth	Concept	Entity	Event Argument - Concept
what is emily howard to alfred inglethorpe since she pretended to hate him ?	a kissing cousin'	his kissing cousin	Concept	Common Noun Phrases	Relation between Concepts
why does siddhartha become a beggar ?	to find spiritual illumination .	to become a shramana	Event	Event Expression	Causal Relation
where are many of pierres forgeries displayed ?	ville-d'avray .	in the vervelle mansion .	Concept	Entity	Event Argument - Concept
when did harney and charity kiss for the first time ?	on the trip to nettleton .	on a trip to nettleton	Event	Event Name	Temporal Relation
what did mr. royall do after the death of his wife ?	tried to force himself into charity s bedroom and asks her to marry him .	ask charity to marry him .	Event	Event Expression	Temporal Relation
what do mabel and lord goring find at the party ?	a diamond brooch that lord goring gave someone years ago .	diamond brooch	Concept	Book-Specific	Event Argument - Concept
where is the boarding house located ?	paris	paris	Concept	Entity	Relation between Concepts
the study og cratyus is ?	the studyof names and their origin	study of language	Attribute	Descriptions	Attribute of Concept
what causes anxiety among the jewish people ?	the sentiment of do n't buy from the jews	distrust and the statement do n't buy from jews .	Attribute	Descriptions	Causal Relation
what is orestes ' goal ?	to become emperor of egypt & africa .	to become emperor of egypt and africa .	Attribute	Descriptions	Attribute of Concept
why wo n't kate s father let her marry pete ?	because he does not have enough money	he has low prospects	Attribute	States	Causal Relation
who is the main protagonist in the story ?	otto	otto	Concept	Entity	Book Attribute
why is barabas angry at the maltese governor ?	barabas believes the governor has robbed him of his wealth .	he robbed him .	Event	Event Expression	Causal Relation
what is unique about the phonetic spelling of the future ' article that discussed beerbohm s story ?	"the spelling of most words is modified , presumably because of the change of language with time"	the english lanuage has evolved .	Attribute	Descriptions	Attribute of Concept
what does cokeson discover about the check ?	it has been forged	that it was forged from nine to ninety pounds .	Event	Event Expression	Nested Relation
why do the goblins turn on lizzie ?	they realize she wants the fruit to help another person .	because she wanted to buy their fruit for sister not eat it herself	Event	Event Expression	Causal Relation
what firm is willing to take falder back ?	james how & son	james how & son	Concept	Entity	Event Argument - Concept
who tries to enter the manor ?	dr. horace bianchon	dr. bianchon	Concept	Entity	Event Argument - Concept
what does the witch want for the world ?	perfect harmony	more just and fair	Attribute	Descriptions	Attribute of Concept
why did almayer build the house ?	he believed the british were coming and wanted to welcome them .	in order to invite the invading state	Event	Event Expression	Causal Relation
what was the practical reasoning crito used to try and convince socrates to leave ?	crito reasoned that his and his friends reputations would suffer for not having done enough to help socrates .	that if socrates dies it will reflect badly on his friends .	Event	Event Expression	Nested Relation
why does kate s father reject pete s marriage offer ?	kate s father thinks pete s prospects are not good enough .	because of his low prospects	Attribute	States	Causal Relation
who gets captured by the picts and tied up ?	balthus	a scout and balthus .	Concept	Entity	Event Argument - Concept
how may volumes has darnley written on the origins of life ?	3	three	Attribute	Numerics	Event Argument - Concept
an artist uses what to express the essence of their subject in a painting ?	color .	color	Concept	Common Noun Phrases	Attribute of Concept
which boarder is from the same country as miranda ?	violet ray	violet ray from new york	Concept	Entity	Relation between Concepts
what was the name of the girls ' cottage ?	patty s place	patty s place	Concept	Entity	Relation between Concepts
what inspires claude to paint a dead body ?	death of his son	his son passes away	Event	Event Expression	Causal Relation
what happened to bartley s father ?	he died	died at sea	Attribute	States	Attribute of Concept
what estate did helen eventually buy ?	staningley .	staningley	Concept	Book-Specific	Event Argument - Concept
how did christopher end up in prison ?	he ended up killing mr.fletcher .	he took the punishment after making will hate his grandfather so much that killed him .	Event	Event Expression	Nested Relation
who does miranda say rebecca is in the image of ?	rebecca s father	lorenzo dimedici	Concept	Entity	Nested Relation
who is peggy gray in the story ?	another love interest of montgomery brewster	monty s love interest and woman he marries .	Attribute	Descriptions	Attribute of Concept
who attends claude s funeral at the end of the story ?	sandoz and bongrand .	sandoz and bongrand .	Concept	Entity	Event Argument - Concept
what did anne really want to do with her life ?	she really wants to go and get her schooling at a college where she is from .	she wants to go to redmond college	Event	Event Expression	Event Trigger
what song do pozdnyshev s wife and her lover perform together ?	kreutzer sonata	kreutzer sonata	Concept	Common Noun Phrases	Event Argument - Concept
who accuses ruggiero of being a traitor ?	rodomonte .	rodomonte	Concept	Entity	Event Argument - Concept
"instead of death , how does baron henry treat otto ?"	he cuts off his right hand	he cuts off his right hand	Event	Event Expression	Event Trigger
what happened to the long parliament ?	it dissolved itself .	it dissolved itself	Event	Event Expression	Event Trigger
what was found on the north-most island ?	a body	her brother	Concept	Book-Specific	Event Argument - Concept
what type of place do the jewish people want to live ?	a place without persecution .	a state .	Attribute	Descriptions	Attribute of Concept
where was the collection of stories popular even with the soviet ban ?	the black market	on the black market .	Concept	Common Noun Phrases	Event Argument - Concept
what is the name of the senecan ghost ?	machiavel	machiavel	Concept	Entity	Attribute of Concept
how old is ernest when he receives alethea s gift ?	ernest was 28 .	28 yrs old	Attribute	Numerics	Temporal Relation
how many war dukes were chosen from the house of wolfings ?	one war duke was chosen from the house of wolfings .	one .	Attribute	Numerics	Event Argument - Attribute
"when mary was younger , how did her mother fill her free time ?"	reading novels	she was obsessed with novels .	Event	Event Expression	Temporal Relation
what country is used as the example of a civilised country in which persecution still exists ?	france was given as an example .	france	Concept	Entity	Attribute of Concept
who persuades socrates to escape ?	crito	crito convinces socrates to leave his cell .	Concept	Entity	Nested Relation
what happened to the doctor who was called to the house after mortimer s brothers went insane ?	he collapsed at the sight of brenda s body	he collapsed into a chair .	Event	Event Expression	Temporal Relation
what type of weather conditions were there when innocent was left as a baby ?	a violent storm	there was a violent storm .	Event	Event Name	Temporal Relation
what point of view are the stories told in ?	first person .	first person narrative	Attribute	Book Attributes	Book Attribute
how could alfred inglethorpe be acquitted of his crimes ?	due to double jeopardy and false evidence	yes he was not present . he has an alibi	Event	Event Expression	Causal Relation
where is princess irene s mother ?	she is dead .	dead	Attribute	States	Attribute of Concept
who is the daughter of atlantides ?	the witch .	the witch	Concept	Book-Specific	Relation between Concepts
where does the girdlestone firm plan to say that they have discovered diamond mines ?	the ural mountains	ural mountains .	Concept	Common Noun Phrases	Nested Relation
"had socrates escaped , what would he become ?"	an outlaw	an outlaw	Concept	Common Noun Phrases	Causal Relation
what does socrates believe about being judged in the after life if he breaks out of prison ?	it would have a negative effect	he would be judged harshly for doing so .	Event	Event Expression	Causal Relation
what causes romola to see tito s true character ?	he sells bardo s library .	political turmoil in france .	Event	Event Expression	Nested Relation
who is the saracen king of africa ?	agramante .	agramante	Concept	Entity	Relation between Concepts
how was the estate finally restored ?	"through the efforts of maria wyndham , who was mr. fletcher s granddaughter and heir , christopher was pardoned and the estate was returned to him ."	through marriage	Event	Event Expression	Nested Relation
whose castle did angelica escape from ?	bavarian duke namo .	bavarian duke namo	Concept	Entity	Event Argument - Concept
whose reflection did holdenough see in the mirror ?	a college friend who had drowned .	a college friend that had drowned .	Attribute	Descriptions	Event Argument - Concept
who is laura to lizzie ?	her sister .	she is her sister .	Attribute	Descriptions	Relation between Concepts
who is the narrator in part one ?	gilbert markham .	gilbert markham .	Concept	Entity	Book Attribute
what position does anne take at summerside school ?	principal	principal	Attribute	States	Event Argument - Attribute
what is the subject of the painting that claude ca n't complete ?	a view of the lle de la cite .	a screen scape of the ile de la cite .	Concept	Book-Specific	Nested Relation
what is his wife s name ?	paula .	paula .	Concept	Entity	Relation between Concepts
who does daisy work for ?	white people	white people	Concept	Common Noun Phrases	Attribute of Concept
what was otto s replacement hand made of ?	silver	silver	Attribute	States	Attribute of Concept
who challenges the courtiers to court compliment competition ?	asotus	asotus	Concept	Entity	Nested Relation
what does monty bail out with his money ?	a bank .	a bank .	Concept	Common Noun Phrases	Event Argument - Concept
what kind of man does laura marry ?	laura marries an army officer .	an army officer	Concept	Common Noun Phrases	Event Argument - Concept
what does the witch use to create the hermaphrodite ?	fire and snow	fire and snow	Concept	Common Noun Phrases	Nested Relation
how does lord and lady glenarvan contact mary and robert ?	through an announcement in the newspaper	through an announcement in a newspaper .	Event	Event Expression	Nested Relation
who is aaron hancock ?	a hobo philosopher	one of the men that character evan graham is based upon	Attribute	Descriptions	Attribute of Concept
what would socrates do if the decision to leave his cell was unjust ?	he would stay and face his execution .	persuade the laws to let him go .	Event	Event Expression	Causal Relation
who ultimately rejects the study of language ?	socrates rejects it .	socrates	Concept	Entity	Event Argument - Concept
how many times is diana kidnapped in the story ?	twice	once	Attribute	Numerics	Event Argument - Attribute
where does paula ride the stallion ?	into a swimming take	in to a swimming tank	Concept	Common Noun Phrases	Event Argument - Concept
what two gods do the germanic tribes worship ?	odin and tyr	odin and tyr	Concept	Entity	Nested Relation
in what year did rogers awaken from his deep slumber ?	2419	2419 .	Attribute	Numerics	Event Argument - Attribute
liza lives on what street ?	vere street	vere street .	Concept	Book-Specific	Relation between Concepts
who moved to chicago to perform mercy killings ?	lazarus	seth lazarus	Concept	Entity	Nested Relation
what does maurya lose her family to ?	the sea .	sea .	Concept	Common Noun Phrases	Event Argument - Concept
how many children did the main character and his wife have ?	five	five	Attribute	Numerics	Book Attribute
how does sir henry let alice know he approves of her wedding to everard ?	through a letter	he writes her a letter	Event	Event Expression	Nested Relation
how old is jim blakeston ?	40	40	Attribute	Numerics	Attribute of Concept
why did herzl want legal sanction from the ottoman authorities ?	so the jews could immigrate without persecution .	to stop the influx of jews into palestine	Event	Event Expression	Causal Relation
what point of view did the witch seek to change in humans ?	point of view regarding death .	death	Concept	Common Noun Phrases	Event Argument - Concept
what style of narrative is used in the story ?	first person .	first person narration .	Attribute	Book Attributes	Book Attribute
who does monty confess to ?	peggy	peggy gray	Concept	Entity	Event Argument - Concept
who wrote the scholary article which declared soames to be fictional ?	t. k. nupton	t.k..nupton .	Concept	Entity	Nested Relation
what did the witch throw into a ditch ?	a coffin .	a coffin .	Concept	Common Noun Phrases	Event Argument - Concept
who rescues princess irene and lootie from the goblins ?	curdie	curdie	Concept	Entity	Event Argument - Concept
why did baron conrad left the castle undefended ?	because he was summoned by the imperial court	he takes the majority of his army as an escort to obey a summons to the imperial court	Event	Event Expression	Causal Relation
what is the name of the turkish slave that is purchased ?	ithamore	ithamore	Concept	Entity	Attribute of Concept
"what weapon did samson use to kill 3,000 men according to judges 18:18 ?"	"samson killed 3,000 men using donkey s jaw bone as a weapon ."	a donkey s jawbone .	Concept	Book-Specific	Nested Relation
what gift is ermyntrude given as the princess ?	jewel	a jewel	Concept	Common Noun Phrases	Event Argument - Concept
how does tito escape the rioters ?	he jumps into the arno river .	diving into arno river	Event	Event Expression	Nested Relation
how long did the cruise to europe and egypt last ?	several months .	several months	Attribute	Numerics	Event Argument - Attribute
how does the art-dealer describe grassou s skill level to virginie s father ?	he calls grassou a grand master	a grand master .	Event	Common Noun Phrases	Event Argument - Concept
who is the italianate-greek scholar who shipwrecked in florence ?	tito melema .	medici	Concept	Entity	Nested Relation
how many pict heads does conan say he will take for balthus s sacrafice ?	ten	ten	Attribute	Numerics	Nested Relation
when does the story begin ?	world war i	during world war i	Event	Event Name	Book Attribute
what does calchas give to the greeks to do ?	release cresida in exchange for a prisoner of war	exchange a prisoner of war	Event	Event Expression	Nested Relation
after leaving kamala and the big city where does siddhartha return to ?	the river .	the river	Concept	Common Noun Phrases	Temporal Relation
what profession does siddhartha take in his old age ?	he is a ferryman .	he is a ferryman .	Concept	Common Noun Phrases	Relation between Concepts
what does raphael do to win victoria s love ?	he converts to christianity .	converts to christianity .	Event	Event Expression	Nested Relation
what is a utopia ?	a perfect society	a perfect world that was more just and fair .	Attribute	Descriptions	Attribute of Concept
what happens to esther after she is cured of the disease ?	she is permanently disfigured	she learns who her mother is .	Event	Event Expression	Temporal Relation
what kind of sport does barney play in high school ?	barney plays basketball in high school .	basketball	Concept	Common Noun Phrases	Event Argument - Concept
what happens to brewster the night before the deadline ?	the executor of his uncle s will disappears after liquidating all of the assets .	he finds out the executor of his uncle s will disappeared after liquidating the assets .	Event	Event Expression	Temporal Relation
while getting water from the well at twilight what sounds do the sisters hear ?	the noises of the goblins selling their wares at the market	goblin chanting of their fruit	Event	Event Expression	Temporal Relation
who did orlando fall in love with ?	the princess angelica .	angelica	Concept	Entity	Event Argument - Concept
how does ithamore die ?	barabas poisons him	poisoning	Event	Event Expression	Nested Relation
what school do they attend together after college ?	harvard medical school	harvard medical school	Concept	Entity	Event Argument - Concept
what is the subject of cratylus ?	the correctness of names .	the correctness of names	Event	Event Name	Attribute of Concept
who murders hypatia ?	a christian mob	a christian mob	Concept	Common Noun Phrases	Event Argument - Concept
how many children do pozdnyshev and his wife have ?	five	a total of five .	Attribute	Numerics	Attribute of Concept
what was the cause of the inca s country going bankrupt ?	a war	a foolish war .	Concept	Common Noun Phrases	Causal Relation
what type of character does brewster demonstrate through his actions ?	strong moral character	strong moral character .	Concept	Common Noun Phrases	Event Argument - Concept
who publicly objects to the exchange of a prisoner of war for criseyde ?	hector of troy	hector of troy	Concept	Book-Specific	Nested Relation
what is the cavendish estate in england essex county known as ?	styles court	styles court .	Concept	Entity	Relation between Concepts
who does innocent believe to be her true father ?	hugo jocelyn	hugo jocelyn .	Concept	Entity	Nested Relation
what is the name of baron henry s fortress ?	castle trutzdrachen .	castle trutzdrachen	Concept	Entity	Attribute of Concept
what does laura offer the goblins for a piece of fruit ?	a bit of her hair and a tear	a locket of hair and a tear	Concept	Common Noun Phrases	Event Argument - Concept
which is the worst way to speak according to soccrates ?	using opposite kinds of names	the use of opposite names	Event	Event Expression	Nested Relation
during what time period does this story take place ?	early 18th century	early 18th century .	Attribute	Numerics	Book Attribute
where does helen find refuge ?	wildfell hall	staningley estate .	Concept	Entity	Event Argument - Concept
what happen when renfry attempts to relaunch the ship ?	the ship runs in reverse .	the ship runs the course in reverse .	Event	Event Expression	Temporal Relation
where did lady dedlock die ?	at the cemetery of her former lover captain hawdon .	at nemo s cemetery .	Concept	Entity	Event Argument - Concept
what did charity tell harney to do on the letter she wrote him when he left ?	she told him to marry annabel .	to marry annabel .	Event	Event Expression	Nested Relation
what profession does livingston have after leaving harvard ?	author	author	Concept	Common Noun Phrases	Temporal Relation
what was anne s occupation before she went to college ?	she was a teacher	teacher .	Concept	Common Noun Phrases	Temporal Relation
how old is virginia when she marries ?	30	30	Attribute	Numerics	Event Argument - Attribute
where does mrs. mcbride have her picnic ?	versailles .	versailles	Concept	Entity	Event Argument - Concept
where does helen find asylum ?	at wildfell hall .	wildfell hall	Concept	Entity	Event Argument - Concept
what is the setting of the story ?	medieval germany	germany	Concept	Entity	Book Attribute
what is mirandas view of rebecca ?	she is no sawyer and all randall	miranda feels that rebecca is not up to her standards .	Attribute	Descriptions	Relation between Concepts
"what are women s dresses designed to do , according to pozdnyshev ?"	arouse men	they are designed to arouse men s desires .	Attribute	Descriptions	Attribute of Concept
where does kate go when she flees phillips house ?	to london	london	Concept	Entity	Temporal Relation
what century does deerslayer reside in ?	18th century	18th century	Attribute	Numerics	Attribute of Concept
"after ann passes away , with whom did mary fall in love ?"	henry	she fell in love with henry .	Concept	Entity	Temporal Relation
how has mr. fletcher gained his possessions in life ?	by cheating and dishonesty .	cheating and dishonesty .	Event	Event Name	Causal Relation
how are alfred and evelyn related ?	they are cousins	alfred is her husband	Concept	Common Noun Phrases	Relation between Concepts
what kind of work does anne leave behind in green gables ?	teaching	teacher	Concept	Common Noun Phrases	Event Argument - Concept
why is harney exploring buildings ?	because he is preparing for a book on colonial houses	for a book he is preparing .	Event	Event Expression	Causal Relation
how many blakeston children are there ?	5	five .	Attribute	Numerics	Attribute of Concept
who is rebecca s best friend at riverboro ?	emma jane perkins	emma jane perkins	Concept	Entity	Relation between Concepts
who are some of agramante s allies ?	marsilio and rodomonte	"marilio , the king of spain and a warrior named rodomonte"	Concept	Entity	Relation between Concepts
how many years did rodgers remain in sleep ?	492	492	Attribute	Numerics	Event Argument - Attribute
what does socrates introduce to give him an answer ?	the voice of the laws athens .	he used the laws of athens to help him .	Concept	Common Noun Phrases	Nested Relation
why did agramante invade europe ?	to take revenge for the death of his father .	to avenge the death of his father	Event	Event Expression	Causal Relation
who was having an affair with lady lowborough ?	arthur .	arthur	Concept	Entity	Event Argument - Concept
which inventions of tom s is stolen ?	his airship .	an airship	Concept	Entity	Event Argument - Concept
what year did the two friends attend harvard medical college ?	1958	1958	Attribute	Numerics	Event Argument - Attribute
what analogy does socrates compare citizens and the law to ?	child and parent	citizens are bound to laws the same as children are bound to parents .	Concept	Common Noun Phrases	Event Argument - Concept
who is jeanie ?	a girl who died after eating the goblins ' fruit	a girl who had died after eating the goblins ' fruit .	Attribute	Descriptions	Attribute of Concept
where does diana go on her month-long trip ?	the desert	the desert	Concept	Common Noun Phrases	Event Argument - Concept
what is the connection between esther and lady dedlock ?	mother and illegitimate child	mother and daughter	Concept	Common Noun Phrases	Relation between Concepts
what was the purpose of crito s visit ?	to smuggle socrates out of prison and into a life of exile .	the purpose of the visit was to persuade socrates to escape prison .	Event	Event Expression	Nested Relation
what position does erymntrude s father hold ?	he is the archdeacon .	archdeacon	Concept	Common Noun Phrases	Attribute of Concept
what happens shortly after otto returns to his father s castle ?	the nephew of baron frederick storms the castle and kidnaps otto	learns of his fathers life as a robber .	Event	Event Expression	Temporal Relation
what does evelyn vane claim leverett is always talking about ?	the color of the sky	the color of the sky .	Attribute	Descriptions	Nested Relation
who did the witch want to have reveal their own lies ?	the scribe .	the scribe .	Concept	Entity	Nested Relation
what do the goblins do when they discover lizzie is trying to buy goblin fruit to help her sister ?	they attack her .	they assault her and try to physically force her to eat their fruit .	Event	Event Expression	Temporal Relation
how many languages are the clues in ?	three	three languages .	Attribute	Numerics	Attribute of Concept
how is mary initially educated ?	she educates herself using books and the natural world .	nature and books	Attribute	Descriptions	Event Argument - Attribute
what is the strange thing about jeanie s grave ?	grass does not grow over it .	no grass grows over it	Attribute	Descriptions	Attribute of Concept
what is captain grant s daughter s name ?	mary	mary	Concept	Entity	Relation between Concepts
why are the antheans needing a new home ?	lack of resources	drought and other shortages	Event	Event Name	Causal Relation
how does the german boarder see louis ?	as decadent	likeable and brave	Attribute	States	Attribute of Concept
why did dominic s daughter marry the australian man ?	because the fitzgerald family needed brown s money	for financial reasons	Event	Event Expression	Causal Relation
where is monsieur de merret returning home from when he catches his wife by and her lover by surprise ?	a business trip	he has been away on a business trip .	Event	Event Name	Temporal Relation
where does pete go to seek his fortune ?	"pete goes to kimberly , south africa"	kimberly	Concept	Entity	Event Argument - Concept
what is the reward to barabas for helping the turkish army sack malta ?	he is given governorship of the city .	governorship of the city .	Concept	Common Noun Phrases	Causal Relation
when does ahmed realize he is in love with diana ?	ahmed realizes he is in love with diana when she is kid napped by his rival .	when she is kidnapped	Event	Event Expression	Temporal Relation
what does his friend s will state about the daughter ?	"if she dies before coming of age , john becomes the sole heir ."	she is the sole heir and her death would leave everything to john	Event	Event Expression	Nested Relation
what type of characteristics does hermaphroditus have ?	both male and female	a creature both male and female with wings .	Attribute	Descriptions	Attribute of Concept
whose farm was innocent raised on ?	hugo jocelyn	hugo jocelyn .	Concept	Entity	Event Argument - Concept
what distinct facial figure does aaron hancock have ?	a long beard	a long beard	Attribute	Descriptions	Attribute of Concept
who does she observe at sleep ?	mankind	mankind	Concept	Common Noun Phrases	Event Argument - Concept
what is the main conflict of the story ?	the love triangle	a love triangle	Concept	Common Noun Phrases	Book Attribute
how does innocent plan to earn a living ?	by writing and making a name for herself .	by writing .	Event	Event Name	Nested Relation
who does tom find out is having problems financially ?	his friend mr. damon .	mr. damon	Concept	Entity	Nested Relation
who blackmails barabas ?	ithamore	ithamore	Concept	Entity	Event Argument - Concept
what was grassou s wife s name ?	virginie .	virginie	Concept	Entity	Attribute of Concept
which sister stays at the stream ?	laura	laura	Concept	Entity	Event Argument - Concept
what does claude paint after his son dies ?	he paints a picture of the dead body .	a picture of his son s dead body .	Concept	Common Noun Phrases	Temporal Relation
who picked up a hock bone and knocked dave out ?	jim	jim	Concept	Entity	Event Argument - Concept
what was missing from the letter ?	the addressee	name	Concept	Common Noun Phrases	Attribute of Concept
what does maurya predict will happen to michael and bartley ?	bartley and michael wil die	they die	Event	Event Expression	Nested Relation
who tells romola of tito s secret family of tessa and their children ?	baldassarre	baldassarre	Concept	Entity	Event Argument - Concept
who defends lazarus during his murder trial ?	landsmann	bennett landsmann	Concept	Entity	Temporal Relation
in what town does the story begin ?	cornwall	they are in cornwall .	Concept	Entity	Book Attribute
who does socrates compare going against the law to ?	your parents	one s parents .	Concept	Common Noun Phrases	Event Argument - Concept
what happens to troilus when he first learns of the plan to bed him and cresida ?	he faints	he swoons	Event	Event Expression	Temporal Relation
how long after madame de merret dies before people are allowed inter manor ?	50 years	50 years	Attribute	Numerics	Temporal Relation
what was josiah s reaction when he received the letter meant for the lord ?	he realized he had been standing in the way of theodora s happiness	he has made his wife unhappy	Event	Event Expression	Temporal Relation
why were jim and dave fighting ?	jim and dave were fighting because they both wanted to win the affection of daisy .	for daisy s affection	Event	Event Expression	Causal Relation
who acts as falder s lawyer ?	frome	lawyer frome .	Concept	Entity	Event Argument - Concept
how does govinda finally find enlightenment ?	by kissing siddhartha s forehead and seeing into the eternal circle of life and completeness that siddhartha has experienced .	he has the same visions as siddhartha	Event	Event Expression	Causal Relation
where did the works gain popularity ?	in the black market .	a black market of banned books .	Concept	Entity	Event Argument - Concept
why did madam de merret s husband hire a mason to wall off the closet ?	because he knew she was lying about there being a man in the closet .	"because he suspected her lover was inside , but she threatened to leave him if he opened it ."	Event	Event Expression	Causal Relation
who buys sunnybrook farm ?	railroad company	a railway company	Concept	Entity	Event Argument - Concept
where does mary travel with ann in hopes of making her better ?	lisbon	lisbon	Concept	Entity	Event Argument - Concept
what did lord goring find and take ?	a diamond brooch	a diamond brooch	Concept	Common Noun Phrases	Event Argument - Concept
"after the men who have captured travis fox discover he is an archaeologist , what do they want from him ?"	they want him to join their team to travel back in time and look for a spaceship .	they want him to help look for a spaceship	Event	Event Expression	Temporal Relation
